Ticker Symbol,Entity Name,Unique ID,As Of Date,Screen Name,Is Verified,Is Protected,Date Joined,Tweets Count,Following,Followers,Likes,Listed Count,Twitter Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nasdaq:jack,18956020,53750562,2018-07-23 00:00:00,JackBox,True,False,2009-01-13 00:00:00,17001,10969,93844,3824,1338,18956020,20180723,2018-07-23 11:14:41,Consumer Services,Travel & Leisure
nasdaq:sonc,40349928,53751379,2018-07-23 00:00:00,sonicdrivein,True,False,2009-05-15 00:00:00,47122,4861,362848,1633,1556,40349928,20180723,2018-07-23 11:16:08,Consumer Services,Travel & Leisure
nasdaq:wen,59553554,53751651,2018-07-23 00:00:00,Wendys,True,False,2009-07-23 00:00:00,134451,1264,2730860,29550,5008,59553554,20180723,2018-07-23 11:16:36,Consumer Services,Travel & Leisure
vtx:bkw,167421802,53753796,2018-07-23 00:00:00,BurgerKing,True,False,2010-07-16 00:00:00,20843,3911,1648047,7488,3171,167421802,20180723,2018-07-23 11:20:06,Utilities,Electricity
nyse:mcd,321430105,53753313,2018-07-23 00:00:00,MeEncanta,True,False,2011-06-21 00:00:00,6789,2248,27392,1768,92,321430105,20180723,2018-07-23 11:19:18,Consumer Services,Travel & Leisure
nyse:mcd,2590023517,53753314,2018-07-23 00:00:00,365Black,True,False,2014-06-26 00:00:00,2233,512,11461,654,36,2590023517,20180723,2018-07-23 11:19:18,Consumer Services,Travel & Leisure
nyse:mcd,71026122,53753315,2018-07-23 00:00:00,McDonalds,True,False,2009-09-02 00:00:00,451081,14366,3485267,3747,8491,71026122,20180723,2018-07-23 11:19:18,Consumer Services,Travel & Leisure
nyse:mcd,18223550,53753316,2018-07-23 00:00:00,RMHC,True,False,2008-12-18 00:00:00,17561,2526,33979,11862,592,18223550,20180723,2018-07-23 11:19:18,Consumer Services,Travel & Leisure
nasdaq:jack,18956020,53741279,2018-07-22 00:00:00,JackBox,True,False,2009-01-13 00:00:00,16999,10968,93843,3825,1326,18956020,20180722,2018-07-22 02:43:06,Consumer Services,Travel & Leisure
nasdaq:sonc,40349928,53742096,2018-07-22 00:00:00,sonicdrivein,True,False,2009-05-15 00:00:00,47071,4862,362817,1633,1556,40349928,20180722,2018-07-22 02:47:48,Consumer Services,Travel & Leisure
nasdaq:wen,59553554,53742368,2018-07-22 00:00:00,Wendys,True,False,2009-07-23 00:00:00,134409,1264,2730353,29550,4972,59553554,20180722,2018-07-22 02:48:55,Consumer Services,Travel & Leisure
vtx:bkw,167421802,53744513,2018-07-22 00:00:00,BurgerKing,True,False,2010-07-16 00:00:00,20842,3913,1647982,7489,3175,167421802,20180722,2018-07-22 02:57:11,Utilities,Electricity
nyse:mcd,321430105,53744030,2018-07-22 00:00:00,MeEncanta,True,False,2011-06-21 00:00:00,6788,2248,27404,1763,91,321430105,20180722,2018-07-22 02:55:31,Consumer Services,Travel & Leisure
nyse:mcd,2590023517,53744031,2018-07-22 00:00:00,365Black,True,False,2014-06-26 00:00:00,2233,512,11470,654,36,2590023517,20180722,2018-07-22 02:55:31,Consumer Services,Travel & Leisure
nyse:mcd,71026122,53744032,2018-07-22 00:00:00,McDonalds,True,False,2009-09-02 00:00:00,450958,14372,3485088,3747,8489,71026122,20180722,2018-07-22 02:55:31,Consumer Services,Travel & Leisure
nyse:mcd,18223550,53744033,2018-07-22 00:00:00,RMHC,True,False,2008-12-18 00:00:00,17561,2526,33984,11863,592,18223550,20180722,2018-07-22 02:55:31,Consumer Services,Travel & Leisure
nasdaq:jack,18956020,53731998,2018-07-20 00:00:00,JackBox,True,False,2009-01-13 00:00:00,16993,10971,93844,3825,1326,18956020,20180720,2018-07-20 02:00:33,Consumer Services,Travel & Leisure
