Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
lon:dom,207571100452,38468604,2018-06-25 00:00:00,DominosPizza,0,False,591946,19780410,4332,207571100452,2018-06-26 01:39:25,2018-06-26 01:39:25,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,38466164,2018-06-25 00:00:00,Dominos,0,False,591712,19780675,51198,6657899956,2018-06-25 01:48:13,2018-06-25 01:48:13,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,38466028,2018-06-25 00:00:00,papajohnsus,17376,False,440551,5962841,11094,34703237638,2018-06-25 01:46:04,2018-06-25 01:46:04,Consumer Services,Travel & Leisure
lon:dom,137239632978345,38464695,2018-06-14 00:00:00,dominos.ch,0,False,139,16021,179,137239632978345,2018-06-15 18:54:52,2018-06-15 18:54:52,Consumer Services,Travel & Leisure
lon:dom,172657786081466,38464696,2018-06-14 00:00:00,dominosdeutschland,729,False,14,262662,2141,172657786081466,2018-06-15 18:54:52,2018-06-15 18:54:52,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,38458154,2018-06-13 00:00:00,Dominos,0,False,584216,19764906,58554,6657899956,2018-06-13 18:55:39,2018-06-13 18:55:39,Consumer Services,Travel & Leisure
lon:dom,375119861670,38460436,2018-06-13 00:00:00,DominosIreland,0,False,584485,19766833,54,375119861670,2018-06-13 19:00:17,2018-06-13 19:00:17,Consumer Services,Travel & Leisure
lon:dom,207571100452,38460435,2018-06-13 00:00:00,DominosPizza,0,False,584435,19766267,704,207571100452,2018-06-13 19:00:17,2018-06-13 19:00:17,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,38457518,2018-06-13 00:00:00,papajohnsus,16826,False,438311,5951737,9761,34703237638,2018-06-13 18:54:08,2018-06-13 18:54:08,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,38449007,2018-06-08 00:00:00,papajohnsus,16636,False,437262,5944250,11919,34703237638,2018-06-08 17:23:33,2018-06-08 17:23:33,Consumer Services,Travel & Leisure
lon:dom,172657786081466,38454006,2018-06-08 00:00:00,dominosdeutschland,729,False,14,262559,2155,172657786081466,2018-06-08 17:32:51,2018-06-08 17:32:51,Consumer Services,Travel & Leisure
lon:dom,207571100452,38454003,2018-06-08 00:00:00,DominosPizza,0,False,581062,19754202,844,207571100452,2018-06-08 17:32:51,2018-06-08 17:32:51,Consumer Services,Travel & Leisure
lon:dom,375119861670,38454004,2018-06-08 00:00:00,DominosIreland,0,False,581081,19754110,326,375119861670,2018-06-08 17:32:51,2018-06-08 17:32:51,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,38450057,2018-06-08 00:00:00,Dominos,0,False,580875,19754363,78670,6657899956,2018-06-08 17:25:28,2018-06-08 17:25:28,Consumer Services,Travel & Leisure
